Kinky Boost | Xotic EP Booster
Deranged Master | Dallas Rangemaster Treble Booster
Minotaur | Klon Centaur
Teemah! | Paul Cochrane Timmy Overdrive
Heir Apparent | Analogman Prince of Tone
Tone Sovereign | Analogman King of Tone
Alpaca Rogue | Way Huge Red Llama (modded)
Compulsive Drive | Fulltone OCD
Dhyana Drive | Hermida Zendrive
Horizon Drive | Horizon Precision Drive
Valve Driver | Chandler Tube Driver
Top Secret OD | DOD OD-250
Prize Drive | Nobels ODR-1(bc)
Scream 808 | Ibanez TS808 Tube Screamer
Pillars | Earthquaker Devices Plumes
Hedgehog D9 | MAXON SD9 Sonic Distortion
Stupor OD | BOSS SD-1 Overdrive
Deez One Vintage | BOSS DS-1 Distortion (Made-in-Japan)
Deez One Mod | BOSS DS-1 Distortion (Keeley modded)
Ratatoullie Dist | Pro Co RAT (with LM308 opamp)
Vermin Dist | Pro Co RAT
Vital Dist | Earthquaker Devices Life - Octave/Distor -
Vital Boost | Earthquaker Devices Life - Boost circuit
KWB | Benadrian Kowloon Walled Bunny Distortion
Legendary Drive | Carvin VLD1 Legacy Drive (hi gain channel)
Swedish Chainsaw | BOSS HM-2 Heavy Metal Distortion (MIJ)
Arbitrator Fuzz | Arbiter Fuzz Face
Pocket Fuzz | Jordan Boss Tone Fuzz
Bighorn Fuzz | ‘73 Electro-Harmonix Ram’s Head Big Muff Pi
Triangle Fuzz | Electro-Harmonix Big Muff Pi
Dark Dove Fuzz | Electro-Harmonix Russian Big Muff Pi
Ballistic Fuzz | Euthymia ICBM Fuzz
Industrial Fuzz | Z.Vex Fuzz Factory
Tycoctavia Fuzz | Tycobrahe Octavia
Wringer Fuzz | Garbage’s modded BOSS FZ-2
Thrifter Fuzz | Line 6 Original
Xenomorph Fuzz | Subdecay Harmonic Antagonizer
Megaphone | Megaphone
Bitcrusher | Line 6 Original
Ampeg Scrambler | Ampeg Scrambler Bass Overdrive
ZeroAmp | DI Mono, Stereo Tech 21 SansAmp Bass Driver DI V1
Regal | DI Mono, Stereo Noble Preamp Bass DI
Obsidian 7000 | Darkglass Electronics Microtubes B7K Ultra
Clawthorn Drive | Wounded Paw Battering Ram
Tube Drive | Chandler Tube Driver
Screamer | Ibanez Tube Screamer
Overdrive | DOD Overdrive/Preamp 250
Classic Dist | Pro Co RAT
Heavy Dist | BOSS Metal Zone
Colordrive | Colorsound Overdriver
Buzz Saw | Maestro Fuzz Tone
Facial Fuzz | Arbiter Fuzz Face
Jumbo Fuzz | Vox Tone Bender
Fuzz Pi | Electro-Harmonix Big Muff Pi
Jet Fuzz | Roland Jet Phaser
L6 Drive | Colorsound Overdriver (modded)
L6 Distortion | Line 6 Original
Sub Oct Fuzz | PAiA Roctave Divider
Octave Fuzz | Tycobrahe Octavia
Bronze Master | Maestro Bass Brassmaster
Killer Z | BOSS Metal Zone MT-2
